x,y1,y2
0,0,0
8768896,14243341,0
272590416,14243341,0
331521356,37452499,13576773
376536289,49949551,26073825
407172065,45021015,21145289
449784604,44979739,21104013
482599663,43675159,19799433
517797688,43483543,19607817
550996690,43228411,19352685
608074495,42927999,19052273
652685910,42824643,18948917
707427280,42443263,18567537
760799130,42222739,18347013
805390264,41911355,18035629
841331438,42838951,18963225
887518456,41962015,18086289
915229799,41624167,17748441
954103312,41447735,17572009
976229991,41300983,17425257
1023017031,42200391,18324665
1068453234,40965011,17089285
1122484149,41063483,17187757
1167043227,40547583,16671857
1202293211,40219987,16344261
1227897002,34195635,10319717
1273145705,37157223,13281305
1357430873,47902399,24026481
1367213728,54731139,30853693
1441555498,57893059,34015613
1508470545,57926243,34048797
1655134408,57964035,34086589
1666335230,59278699,35401253
1962363715,59938251,36060805
2266313031,59280779,35403333
2275154489,59279203,35401757
2571031967,59280779,35403333
2623649624,33014414,3232896
2664606463,42770186,0
2722838661,63041791,19695013
2761293954,61173759,17826981
2816698651,58889659,15542881
2852689286,58733307,15386529
2888409508,58377891,15031113
2923721786,58702919,15356141
2976636153,57908967,14562189
3012917662,57727379,14380601
3072011226,58228199,14881421
3107613525,57442879,14096101
3152003660,57218431,13871653
3160782976,57098351,13751573
3169569337,57032363,13685585
3178406346,57028187,13681409
3187248170,56939727,13592949
3196081342,56884279,13537501
3205634602,57380519,14033741
3215447989,57494759,14147981
3224281092,56798523,13451745
3233056826,56803619,13456841
3241947453,56816643,13469865
3250760290,56687883,13341105
3259559981,56641915,13295137
3268358195,56545743,13198965
3277153802,56512135,13165357
3286232681,56997579,13650801
3295206158,56514227,13167449
3303992024,56428331,13081553
3312795093,56323595,12976817
3321609970,56364955,13018177
3330472017,56241087,12894309
3339378572,56264387,12917609
3348172895,56102947,12756169
3368546567,51407375,8060597
3405146055,53903411,10556633
3474354061,62795263,19448485
3515738243,72261847,28913541
3671829353,72307831,28959525
3739766129,72307831,28959525
3741114182,73321311,29973005
3966953029,73323615,29975309
4199066486,73323615,29975309
4431781502,73323615,29975309
